City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Karratha,AU,-20.7377,116.8463,70.39,29,1,8.72,clear sky
349,Lensk,RU,60.7253,114.9278,33.28,99,100,2.08,overcast clouds
350,Deputatskiy,RU,69.3,139.9,17.47,86,78,2.55,broken clouds
351,Lavrentiya,RU,65.5833,-171.0,32.5,75,100,6.53,overcast clouds
352,Dingle,PH,10.9995,122.6711,75.7,91,98,2.68,overcast clouds
353,Oum Hadjer,TD,13.2954,19.6966,84.27,54,51,5.99,broken clouds
354,Iqaluit,CA,63.7506,-68.5145,32.7,69,100,3.78,overcast clouds
355,Stara Moravica,RS,45.8689,19.4661,58.78,89,16,3.31,light rain
356,Athabasca,CA,54.7169,-113.2854,63.46,35,100,9.37,overcast clouds
357,Predivinsk,RU,57.0669,93.4378,34.63,94,100,1.59,overcast clouds
358,Puerto Narino,CO,-3.7703,-70.3831,78.75,69,87,4.94,overcast clouds
359,Labuhan,ID,-6.8844,112.2051,76.8,81,14,8.37,few clouds
360,Neiafu,TO,-18.65,-173.9833,81.28,78,40,11.5,scattered clouds
361,Kande,TG,9.9578,1.0447,76.23,78,56,2.15,broken clouds
362,Wloszczowa,PL,50.8526,19.9659,52.21,76,21,8.88,few clouds
363,Port Pirie,AU,-33.1833,138.0167,58.12,75,0,4.85,clear sky
364,Tilichiki,RU,60.4667,166.1,30.25,70,100,7.65,light snow
365,Talara,PE,-4.5772,-81.2719,70.56,73,0,11.5,clear sky
366,Zakamensk,RU,50.3741,103.2863,16.77,96,46,2.53,scattered clouds
367,Hasaki,JP,35.7333,140.8333,66.29,77,8,5.53,clear sky
368,Srednekolymsk,RU,67.45,153.6833,24.24,90,98,2.75,overcast clouds
369,Ayan,RU,56.45,138.1667,49.69,73,100,11.32,overcast clouds
370,Kapit,MY,2.0167,112.9333,73.69,100,100,0.81,overcast clouds
371,Ponta Do Sol,PT,32.6667,-17.1,74.03,71,78,5.23,broken clouds
372,Dharchula,IN,29.85,80.5333,66.87,81,7,4.07,clear sky
373,Quatre Cocos,MU,-20.2078,57.7625,72.09,72,81,18.3,broken clouds
374,Ndende,GA,-2.4008,11.3581,74.37,92,92,2.42,overcast clouds
375,Peniche,PT,39.3558,-9.3811,63.88,80,2,19.75,clear sky
376,Mount Isa,AU,-20.7333,139.5,78.57,57,90,6.91,overcast clouds
377,Clyde River,CA,70.4692,-68.5914,31.53,74,100,2.01,overcast clouds
378,Salo,IT,45.6086,10.531,68.79,69,100,5.35,overcast clouds
379,Morada Nova,BR,-5.1067,-38.3725,81.95,65,73,10.58,broken clouds
380,Yuanping,CN,38.7153,112.7575,57.45,77,0,0.56,clear sky
381,Middle Island,US,40.8843,-72.9373,72.05,86,20,3.44,few clouds
382,Brawley,US,32.9787,-115.5303,101.48,16,1,16.11,clear sky
383,Luanda,AO,-8.8368,13.2343,73.4,88,40,5.75,scattered clouds
384,Baza,ES,37.4907,-2.7726,68.41,46,2,1.99,clear sky
385,Beringovskiy,RU,63.05,179.3167,31.71,58,75,8.14,broken clouds
386,Bonthe,SL,7.5264,-12.505,77.09,90,99,5.03,moderate rain
387,Cachoeira Do Sul,BR,-30.0392,-52.8939,61.81,98,100,5.66,moderate rain
388,North Vernon,US,39.0062,-85.6236,86.34,64,0,2.93,clear sky
389,Kon Tum,VN,14.35,108.0,68.77,97,98,2.28,overcast clouds
390,Lazaro Cardenas,MX,17.9583,-102.2,83.98,70,18,5.55,few clouds
391,Shawville,CA,45.6001,-76.4827,59.09,67,36,4.76,scattered clouds
392,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,92,29,11.25,scattered clouds
